SampleID,Flask_No,Enrichment,Carbon,Media,Replicate,Time_Point,Time,Minutes,Hours,Absorbance,Absorbance_300,Biomass_mg
Emma2_DCPET_ARW_R1_T0,1,Emma2,DCPET,ARW,R1,T0,06072021_0500pm,0,0,0.09,,
Emma2_DCPET_ARW_R2_T0,2,Emma2,DCPET,ARW,R2,T0,06072021_0500pm,0,0,0.192,,
Emma2_DCPET_ARW_R3_T0,3,Emma2,DCPET,ARW,R3,T0,06072021_0500pm,0,0,0.075,,
Laura1_DCPET_ARW_R1_T0,4,Laura1,DCPET,ARW,R1,T0,06072021_0500pm,0,0,0.191,,
Laura1_DCPET_ARW_R2_T0,5,Laura1,DCPET,ARW,R2,T0,06072021_0500pm,0,0,0.181,,
Laura1_DCPET_ARW_R3_T0,6,Laura1,DCPET,ARW,R3,T0,06072021_0500pm,0,0,0.217,,
Laura2_DCPET_ARW_R1_T0,7,Laura2,DCPET,ARW,R1,T0,06072021_0500pm,0,0,0.208,,
Laura2_DCPET_ARW_R2_T0,8,Laura2,DCPET,ARW,R2,T0,06072021_0500pm,0,0,0.235,,
Laura2_DCPET_ARW_R3_T0,9,Laura2,DCPET,ARW,R3,T0,06072021_0500pm,0,0,0.181,,
Emma2_Blank_ARW_R1_T0,10,Emma2,Blank,ARW,R1,T0,06072021_0500pm,0,0,0.109,,
Emma2_Blank_ARW_R2_T0,11,Emma2,Blank,ARW,R2,T0,06072021_0500pm,0,0,0.069,,
Emma2_Blank_ARW_R3_T0,12,Emma2,Blank,ARW,R3,T0,06072021_0500pm,0,0,0.134,,
Laura1_Blank_ARW_R1_T0,13,Laura1,Blank,ARW,R1,T0,06072021_0500pm,0,0,0.261,,
Laura1_Blank_ARW_R2_T0,14,Laura1,Blank,ARW,R2,T0,06072021_0500pm,0,0,0.237,,
Laura1_Blank_ARW_R3_T0,15,Laura1,Blank,ARW,R3,T0,06072021_0500pm,0,0,0.215,,
Laura2_Blank_ARW_R1_T0,16,Laura2,Blank,ARW,R1,T0,06072021_0500pm,0,0,0.221,,
Laura2_Blank_ARW_R2_T0,17,Laura2,Blank,ARW,R2,T0,06072021_0500pm,0,0,0.281,,
Laura2_Blank_ARW_R3_T0,18,Laura2,Blank,ARW,R3,T0,06072021_0500pm,0,0,0.338,,
Emma2_DCPET_BH_R1_T0,19,Emma2,DCPET,BH,R1,T0,06072021_0500pm,0,0,0.115,,
